subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
1,1,672.4376471,698.9465072,659.5448105,654.7969675,641.9142857,715.0091827,631.3079585,652.2269388,0
2,1,774.016297,713.6585026,739.3807631,795.4260725,674.6840816,683.5462185,694.3079585,755.769306,0
3,1,590.0658284,605.5409955,581.2753428,544.2777778,615.483871,637.5195313,561.1133218,595.6295525,0
4,1,664.4755917,686.6405208,693.8731809,706.4306539,659.8027682,691.3865932,669.7219251,654.6087963,0
5,1,1099.979239,1018.477718,773.6011481,791.8992087,959.7514793,1028.3632,730.4275862,677.2773186,0
6,1,809.1970486,813.2514085,793.553251,978.5475,718.2421875,727.1735537,897.431629,829.56,0
7,1,765.8671875,863.2844961,840.0249214,1355.289409,761.4876033,782.4455645,982.2397959,871.587396,0
8,1,630.5658284,629.7937284,626.8140182,617.505144,647.1016043,646.2453782,616.7798319,616.017301,0
9,1,653.7093426,698.2688819,677.4344406,741.847147,726.3704475,666.6228374,724.892562,743.7688172,0
10,1,712.2647929,733.8269371,834.2119565,771.056,736.5289256,680.1350649,782.78125,729.8529412,0
11,1,619.0872197,623.6589873,676.5521706,675.8727273,653.6718367,707.583779,677.5053061,747.3094582,0
12,1,591.8805473,602.9845626,639.3584027,697.7709371,602.5989305,650.85,600.9277311,587.8055556,0
13,1,852.4198251,825.5624173,866.2218977,874.1736,860.516129,845.7890625,765.7428571,858.7617188,0
14,1,818.4140625,823.6740812,830.6632166,796.8100791,819.3115234,756.9586777,795.9423828,759.083045,0
15,1,600.7037037,606.7421384,618.4226012,621.2962963,572.1579832,574.8392256,615.6734694,635.6617647,0
16,1,648.5935143,628.8803217,630.0236435,612.0320399,658.9760666,569.4722222,623.9896194,628.59375,0
17,1,734.1384083,803.7869558,791.160955,843.3674074,722.7272727,733.9802289,785.9310345,730.6446281,0
18,1,751.4682353,802.2314815,777.6754267,799.6401384,736.1937716,715.9117647,766.3702422,841.1835938,0
19,1,745.5623819,762.9985182,688.4495545,674.4992,689.2382813,713.0277778,679.7513369,715.6054688,0
20,1,1086.132213,967.5466905,1044.587077,1031.346674,849.4431818,877.7644184,931.88,1003.525377,0
21,1,618.6835173,607.3207547,539.9741997,572.9622642,588.9012245,619.9411765,521.8888889,563.687395,0
22,1,615.8453361,659.5973154,621.6035669,666.4152249,667.9307958,612.9697959,640.0739496,660.1142857,0
23,1,638.5764706,649.9456862,598.6944152,656.4530612,619.3055556,642.802139,606.2714286,610.5622837,0
24,1,634.1851852,619.88125,588.1682804,615.4881657,672.5849403,652.3333333,612.2986111,593.5555556,0
25,1,985.875,1085.738341,793.8333333,954.498615,782.48,721.1238293,723.75,670.8892734,0
26,1,666.3634745,739.1900614,726.368929,814.0546875,650.2520161,635.04,694.9322449,775.2639296,0
27,1,665.4360983,705.2215909,668.9811088,661.8256464,712.2033613,680.6055363,659.2285714,681.7733564,0
28,1,567.5904977,577.9050214,600.708943,667.1808,547.4915123,530.7941176,556,614.2422145,0
29,1,832.3107039,991.1578881,890.8381295,1190.76114,1038.635328,843.6796875,833.5909091,995.1566952,0
30,1,694.0989676,715.9354839,712.9189044,703.1982249,689.8333333,720.4359862,725.8546713,677.4444444,0
31,1,656.5951557,631.4324895,615.183172,637.437524,589.5555556,612.8,598.7355102,668.3506764,1
32,1,656.989645,656.2397661,632.522293,643.8518519,604.4463668,597.1111111,651.7569204,613.8373702,1
33,1,653.7315089,694.1365242,666.9753734,634.254895,587.3055556,657.0380623,585.6285714,640.4948097,1
34,1,590.5997693,608.7362155,582.2046083,610.1937716,589.7363281,599.8334694,625.8954394,608.8181818,1
35,1,638,674.5103656,652.600866,667.1316568,651.8382353,663.8693878,600.0277778,614.8,1
36,1,597.8742604,607.6059647,600.0989516,600.8727273,577.4444444,611.8789916,582.7785494,571.1418685,1
37,1,697.4279123,734.4995745,728.8513514,758.372803,679.8826979,680.231405,747.1302083,642.1428571,1
38,1,941.7,997.3863529,941.625,870.6002716,1584.423529,1214.366162,1173.166667,1507.623529,1
39,1,580.6585974,627.8572944,645.7493533,697.6459937,607.6089965,583.6032653,606.3409091,618.7096774,1
40,1,579.8227753,590.7800488,570.1884034,620.352,567.5389273,586.8055556,540.1512605,564.5746939,1
41,1,671.037037,668.9416802,644.0410087,621.3888889,694.1666667,663.9117647,640.8333333,707.3246753,1
42,1,596.6721253,643.6958502,663.4717887,686.908788,654.0340909,643.7878788,644.5322449,681.3232323,1
43,1,567.3703704,618.9888116,586.4023355,586.9814815,569,614.5224913,568.1714286,610.56,1
44,1,585.9,656.8013699,620.9559184,723.9673913,586.6971429,689.2445369,720.2035985,720.78125,1
45,1,663.7426036,706.6735589,722.8204356,708.4098292,617.5428571,637.9714286,631.6310204,750.1364583,1
46,1,578.5660377,616.2853846,571.104,626.9471154,567.892437,625.4761905,579.4444444,614.9951172,1
47,1,755.6405325,836.7850033,801.6128218,852.7795383,810.062435,833.1865234,788.9659091,780.513369,1
48,1,631.6404414,650.2188085,682.6708838,703.6380675,664.8685714,645.1260504,706.9921875,657.412987,1
49,1,1145.307555,1158.22497,1183.772667,1216.761999,1018.489074,1013.768991,895.2187755,1036.696429,1
50,1,610.9259259,633.8819876,611.0022523,654.4924554,634.6285714,621.1944444,635.5844898,649.1142857,1
51,1,622.5882353,629.1892312,649.5112467,756.1783854,583.3888889,554.1944444,604.7714286,628.6764706,1
52,1,563.1111111,564.7376478,566.2923211,572.2784763,543,564.3142857,581.4151261,561.8722689,1
53,1,741.2011662,741.8241907,717.5403248,810.16,652.9665306,741.3046875,692.2909091,718.9714286,1
54,1,952.4740484,830.820729,900.0499445,958.3511029,632.3044983,665.7621671,645.9619141,618.7462185,1
55,1,631.7439446,646.1442635,687.8842905,776.0452694,612.1478992,593.0925606,633.0681818,733.8605619,1
56,1,768.8277551,841.2177019,785.2794887,796.1907539,702.8333333,744.1597796,734.6944444,797.8613407,1
57,1,495.572,497.3517911,523.6652778,570.6328125,496.7493113,469.0588235,578.8033333,508.0117302,1
58,1,596.9356509,593.9721218,672.8102069,679.1626298,598.4278075,630.4359862,625.1596639,647.7508651,1
59,1,582,609.0403706,604.4755422,595.5,580.5194805,572.0571429,584.0571429,604.597619,1
60,1,618.1420242,602.1779733,646.6504998,666.908,590.9722222,606.2387543,637.9504132,635.4756303,1
61,1,664.224,692.6394176,655.307296,717.234375,676.5185547,685.0247934,690.1570248,657.1395918,1
62,1,676.0233236,657.2402777,689.7197203,818.3522727,664.9126531,637.0571429,643.8545455,627.3142857,1
63,1,717.7032,799.1432773,706.9619205,793.2219908,683.2231405,670.6111111,698.9268908,825.1862069,1
64,1,726.7233728,862.4813078,775.051501,789.7066667,798.04,1162.056277,861.9153846,731.3203125,1
65,1,515.462963,543.8834416,541.3663037,553.3396226,526.2222222,534.0857143,537.4432653,537.9722222,1
66,1,676.7775,631.8332032,700.9245852,705.7584,611.0889796,616.084898,625.2857143,700.8235294,1
67,1,647.7962963,670.8648252,695.2069856,749.0826475,637.6553571,667.7128028,668.8946939,682.1714286,1
68,1,570.6892911,661.4194776,656.740608,678.8512111,560.8436975,580.35918,610.7843137,649.3295455,1
69,1,665.0555556,713.2331081,673.8671862,723.7512,656.0522449,735.9717742,649.9142857,664.5159184,1
70,1,693.792,656.5302644,653.4443513,689.6148,579.316609,606.1518367,608.8261224,657.2008403,1
71,1,607.6545455,622.9980397,617.1045752,619.2222222,586.2571429,579.1666667,604.9899691,590.8611111,1
72,1,654.3733032,699.3217366,636.3312086,1134.971591,597.4722222,665.4023438,620.3114187,681.3907563,1
73,1,715.4765625,690.169377,646.6177195,641.2908508,651.4166667,717.7520661,652.7777778,665.5951557,1
74,1,657.6800412,682.153911,707.2513354,713.2633136,676.2167126,696.4033613,651.3714286,681.0936508,1
75,1,649.9515571,716.3534168,639.7446461,686.6867972,676.3235294,686.3979239,630.0848765,661.9771072,1
76,1,722.9612661,671.0730356,702.3701199,759.2100694,619.2605042,649.3655462,645.3333333,729.3548387,1
77,1,607.7196746,639.6141176,587.5010753,730.2830579,550.1681633,552.6453782,543.0294118,611.4135802,1
78,1,646.2698469,733.1897602,657.0576068,897.0306122,650.2040816,689.040404,611.2137346,676.7386364,1
79,1,733.349481,943.5714953,824.803249,820.6984877,706.7647059,843.84,705.6747405,819.0842872,1
80,1,1138.225762,904.9712329,926.9400493,1212.376917,987.3674197,959.9586207,900.1548387,960.8,1
81,1,594.6151655,590.6990323,607.5272382,641.9252403,544.6857143,534.1428571,560.0507937,594.5605536,1
82,1,534.647929,560.9903434,591.6163871,650.0625,481.6,555.9609375,613.9741935,562.8164063,1
83,1,682.264,670.2597648,782.1475827,812.0735533,721.0887097,705.8017241,899.7337278,894.2051282,1
84,1,596.1168639,661.3905882,603.8824183,668.972549,612.9983193,603.4285714,636.2756303,718.1703629,1
85,1,611.3942308,626.8589024,629.5661043,688.3391003,651.8680556,738.3801653,660.5325987,641.9461224,1
86,1,594.1694118,605.797598,639.28125,696.96,602.3104839,594.4536272,649.7254362,655.92,1
87,1,773.3402749,926.4803571,884.3102679,1118.070988,772.4179688,835.6781609,771.6033058,790.239334,1
88,1,814.0664452,894.9443478,878.9558557,1167.421488,709.2943548,681.0176471,758.8189386,759.7086368,1
89,1,619.5482507,692.0491277,748.4556741,807.5025,759.3876338,710.8548387,858.2678571,768.0413793,1
90,1,633.9587042,717.1672662,691.4746195,681.9142024,636.5283203,607.4844291,636.4812834,656.8200758,1
91,2,773.9518229,752.1889115,784.0856647,816.4565217,970.1695157,1195.289256,1013.016667,1069.704545,0
92,2,701.5406805,742.5423153,695.0431552,758.7623359,705.0802139,727.9636364,634.9722222,658.4727273,0
93,2,871.9345628,966.1829545,965.7941246,1083.761905,921.408284,1003.686391,938.8224852,840.4994055,0
94,2,692.3942308,676.4142339,714.8804524,743.7093426,682.1134199,678.8181818,649.157197,626.0473469,0
95,2,1125.778547,1140.055663,942.4721639,1059.541667,1078.8125,1093.7088,856.1388889,870.7098692,0
96,2,742.5506039,734.2673841,753.1491781,718.7534294,676.2,733.0795848,778.7768595,821.4609375,0
97,2,663.6415094,712.9093671,666.9322974,696.4058384,707.8628571,689.8888889,708.4722222,693.6418685,0
98,2,876.4318858,861.4937405,710.31867,837.5954789,740.8578629,672.8620408,795.3955078,676.4767347,0
99,2,595.6532574,601.9222171,605.448858,672.890625,630,608.4017316,626.5432526,599.6929066,0
100,2,793.3760331,768.2900857,737.0865085,755.6095041,811.9744898,889.0246154,699.2758621,696.9726563,0
101,2,637.3079585,725.7282121,719.1887755,807.1270661,704.4204545,786.9517241,757.3111342,846.3839286,0
102,2,679.565312,743.1193403,672.216564,807.6988636,651.2032653,708.8039216,650.3142857,665.5454545,0
103,2,984.5759369,931.1366815,929.2931735,1042.783784,731.9304435,1008.003333,830.56,783.8789063,0
104,2,836.2040816,771.7298937,780.4439268,886.0047591,683.8592375,616.8611111,635.1281633,711.0725806,0
105,2,618.5272727,740.2298851,684.4235788,867.0612245,788.0618312,729.8522373,899.0584615,796.9453125,0
106,2,666.9609375,622.6731175,641.4002991,681.4152,643.6506122,623.6285714,647.1972318,677.1704152,0
107,2,592.1698113,618.6193119,616.3922363,620.0891632,658.4636678,618.7324675,601.2440816,593.1918367,0
108,2,557.7923875,557.0566505,596.4114095,557.9743681,535.7344538,573.3553719,591.9507576,632.6132813,0
109,2,719.4439817,702.1805479,704.7626996,791.2429112,672.7058824,693.6528926,755.7539063,768.7354839,0
110,2,631.3386124,740.4113934,724.3295599,720.0946129,694.937565,687.9008264,690.8418561,683.9669421,0
111,2,951.2159429,1121.243363,1040.759577,1065.228532,792.6477273,759.0082645,709.1079365,716.2318339,0
112,2,705.5747041,807.256691,780.3524514,761.364015,736.4692082,792.28,687.7322449,777.4651405,0
113,2,676.8531334,661.081971,672.4224,678.3944637,633.2698962,621.6,604.8587755,629.7853061,0
114,2,687.8203125,711.8873239,654.1767123,667.6352941,689.0578512,747.3204301,640.8770053,643.8842975,0
115,2,528.5617658,570.4367322,561.9927468,638.2218198,515.9314286,594.1062619,550.8056641,557.4394464,0
116,2,672.7962963,693.2449262,707.8359325,712.2013575,653.9166667,663.6571429,678.4207792,692.4285714,0
117,2,641.5752937,662.8461311,698.409908,779.2,644.5170455,647.4380165,648.1280864,689.0273438,0
118,2,662.897929,687.6257459,634.0020833,596,680,722.2422145,645.7742215,722.0441176,0
119,2,689.8550604,714.5908273,772.3934821,824.6901028,971.25,1376.384083,1143.279503,2138.75,0
120,2,788.88,816.7844251,814.1769464,968.2681406,1018.399306,863.44,828.56,851.0444444,0
121,2,625.3326475,699.8476056,634.3203957,729.820908,575.0657439,604.8055556,591.9869388,627.0655462,1
122,2,620.7962963,637.6684869,640.5353107,626.5925926,632.6008163,672.3278237,634.922449,605.9190476,1
123,2,665.8782485,650.1372206,669.3598694,662.2988166,617.3485714,607.2975779,653.449827,631.0890756,1
124,2,552.5185185,591.5772627,594.7519894,623.2698962,629.7357955,597.6528926,580.9411765,567.798574,1
125,2,794.6890211,781.3717141,666.5595471,656.2296,632.5432526,646.4415584,612.2285714,740.5058594,1
126,2,924.0696,952.5808328,972.6022405,1078.459302,931.4894399,999.6827586,1088.809524,1062.037037,1
127,2,597.2830189,632.308136,617.4885778,626.3144796,606.9411765,639.75,668.0330579,623.1085714,1
128,2,686.9284443,731.5076394,736.0107616,683.6612841,681.9134694,712.1969697,670.25,688.546875,1
129,2,562.3958704,578.5783486,586.3886085,569.5603418,566.9779592,578.1176471,597.4411765,567.1122995,1
130,2,573.3918367,554.3207804,558.7458042,563.5884656,551.4906122,563.8613445,578.6446281,557.3714286,1
131,2,583.1296296,619.4197813,624.0802199,599.0185185,615.1820988,614.8051948,653.9761249,625.2513369,1
132,2,1012.261657,1044.01493,1152.659109,1188.424036,964.40625,1026.372043,1150.095238,1030.827778,1
133,2,612.6666667,693.1140203,686.5020694,668.6666667,639.3425606,609.0833333,633.9238754,646.5,1
134,2,531.7986968,588.36951,557.6552917,604.3446746,528.4506122,566.3148789,525.717551,530.5008403,1
135,2,650.154321,692.6497696,646.8699194,704.615917,684.1818182,639.2571429,662.8546713,675.0934256,1
136,2,644.4393004,729.4347326,664.9978259,651.1806997,640.7536765,640.2710204,673.4876033,621.6571429,1
137,2,564.6987755,558.8307905,538.9699675,558.3972944,534.357551,546.7577855,503.5004082,500.6388889,1
138,2,640.222,615.23619,646.2530344,627.4463668,677.390625,648.0605042,665.3489736,638.107563,1
139,2,716.8015123,680.66431,652.9268783,692.928,775.3673257,701.1727941,754.4,717.328125,1
140,2,618.5544022,666.9379071,642.8930274,727.03125,847.3204995,857.9179688,821.3697959,937.36,1
141,2,596.0761246,611.7066989,633.7874488,663.6328125,556.9166667,600.2035985,610.8420168,684.6679688,1
142,2,602.8266287,595.0485802,628.0904605,691.3619325,550.8961397,568.6184874,587.4318367,700.5731183,1
143,2,670.0752,724.4174359,711.4742661,1051.708333,653.8181818,629.2265625,730.4882813,992.0553846,1
144,2,846.7623967,844.4078283,824.8971219,782.056,1096.570888,967.2071006,1119.25,1331.939058,1
145,2,617.5283019,630.4184518,658.2514205,694.7152941,605.8055556,611.7222222,687.2698962,658.3888889,1
146,2,729.328125,755.2248276,766.6883551,714.0440089,659.4318367,642.3428571,719.1586453,748.9717742,1
147,2,722.010355,698.226926,745.6422569,730.3579882,748.6747899,699.4285714,715.0588235,713.2235294,1
148,2,672.6228374,735.7916667,781.2319082,824.6280193,628.2249135,723.4270833,775.3298647,743.0489074,1
149,2,1067.884298,1082.204974,1107.287929,1357.185306,1044.580645,1062.124138,1201.487179,1061.868887,1
150,2,852.4932396,874.9097886,867.2426799,1037.834877,658.4013841,618,682.0380623,715.1931818,1
151,2,819.9144,897.5043478,853.8423513,945.4083176,835.0069204,815.2941176,839.1322314,830.4612245,1
152,2,649,648.860486,646.3457386,646.3518519,653.7923875,654.446281,653.486631,612.1714286,1
153,2,646.9855967,684.9416967,759.6603565,779.8846154,643.2571429,678.0016807,763.4117647,733.982699,1
154,2,709.828125,734.0026316,700.0016102,716.6448,630.1910204,646.2453782,636.6850321,673.5536332,1
155,2,813.1171875,846.7883212,821.9489699,1121.654492,730.9307958,765.1654412,790.816609,803.8378906,1
156,2,670.2228551,702.2327044,679.4541854,721.3008188,704.4723183,657.7941176,667.5134694,687.2698962,1
157,2,654.9550173,718.4367123,711.6518607,744.7771762,684.5955882,690.802139,714.0234375,690.228739,1
158,2,618.4775087,653.0582192,655.7781721,713.0528946,654.3984375,654.2595156,678.5742188,695.9354839,1
159,2,710.6268491,683.7996015,682.0853503,675.8284024,703.2460973,744.9586777,713.6149733,719.5690236,1
160,2,652.5560698,680.444321,746.8685174,840.4852145,649.5849206,672.2621849,693.287395,699.7880623,1
161,2,742.9536,762.9822635,687.2254537,704.16,677.2620321,683.7071429,636.9428571,631.1111111,1
162,2,784.967344,863.7543654,788.2803863,911.4413989,860.8688866,833.916955,835.3125,814.9853076,1
163,2,623,628.4417314,625.8396226,630.0914369,631.9691358,681.1704545,625.0588235,649.2777778,1
164,2,697.6368,697.7647059,694.6048021,698.7198341,692.7731092,695.25,690.8428571,698.4573003,1
165,2,759.746531,886.7324755,830.9833504,914.5905923,1198.989474,1332.099723,899.5384615,975.8769231,1
166,2,680.7673817,695.010118,657.5599612,656.8045568,687.7869605,709.8398438,691.5415225,689.8181818,1
167,2,653.8928,739.1330935,666.4553228,712.0872,653.2941176,693.8522727,606.5354671,646.4579592,1
168,2,612.2264151,642.9295554,601.9339964,642.4881657,631.9166667,656.7593583,589.7318339,601.1929012,1
169,2,706.2145329,717.2898351,757.4736842,699.5314286,848.5029586,773.3793103,736.4453694,695.107438,1
170,2,629.3664731,652.5263694,675.9798314,701.6568047,588.5428571,605.9891975,672.4152249,700.4499541,1
171,2,619.7792809,623.6412915,703.9147913,845.2272727,643.9338843,666.9090909,707.2734375,711.2375367,1
172,2,613.5797872,656.7949991,630.1432555,624.7681661,567.1966387,566.3428571,603.4444444,611.6746032,1
173,2,686.3517266,747.3843674,774.3751049,804.421875,729.589916,756.8168067,746.1388889,721.7777778,1
174,2,659.8227127,674.0569124,712.0642326,763.2602988,698.7970864,641.0722689,695.6932966,695.0942907,1
175,2,686.3517266,747.3843674,774.3751049,804.421875,729.589916,756.8168067,746.1388889,721.7777778,1
176,2,753.0246914,790.9291139,751.9620586,813.8232,737.7197232,742.9613445,731.0204082,711.9642857,1
177,2,728.552,754.5075,805.1448276,894.7636364,649.3823529,673.7165775,678.6857143,690.7462185,1
178,2,527.7735849,520.2803571,534.5960053,527.4660021,541.4876033,537.4432653,542.83391,541.4218487,1
179,2,620.8202663,620.1890233,620.3573584,640.3309911,561.4166667,568.5277778,574.5882353,648.9653979,1
180,2,642.2705882,670.035,717.4941044,727.7410593,610.1989619,649.2456747,690.224977,651.4789916,1
