version,subjID,Gender,Age,Q1_SC_SystematicVariation,Q2_BearTurtle,Q2_BearBird,Q2_BearDeer,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SC_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SCT_ForcedChoicePerformance,Experiment
1,1,Female,60,0,64,25,40,2,2,1,1,0,0,2,1,1,0,0,2,0
1,2,Male,26,1,79,73,93,2,1,1,1,0,0,2,1,0,0,0,1,0
1,3,female,38,0,18,33,37,2,2,1,0,0,1,2,1,0,0,1,2,0
1,4,MALE,39,0,77,66,68,2,2,1,1,0,0,2,1,1,0,0,2,0
1,5,Female,25,0,51,51,50,3,2,1,1,1,0,3,1,1,0,0,2,0
2,6,Male,36,1,84,67,75,1,1,0,0,0,1,1,1,0,0,0,1,0
2,7,Female,34,1,,,,,,,,,,,,,,,,0
2,8,MALE,26,1,,,,,,,,,,,,,,,,0
2,9,male,26,1,,,,,,,,,,,,,,,,0
2,10,MALE,26,1,88,95,89,4,2,1,1,1,1,4,0,1,0,1,2,0
3,11,female,49,0,60,25,32,4,0,1,1,1,1,4,0,0,0,0,0,0
3,12,female,30,1,53,18,29,2,2,0,0,1,1,2,0,0,1,1,2,0
3,13,Male,25,1,51,41,69,1,3,0,0,0,1,1,1,0,1,1,3,0
3,14,female,25,1,43,62,51,1,3,0,0,1,0,1,0,1,1,1,3,0
3,15,female,48,0,50,50,50,2,4,1,0,0,1,2,1,1,1,1,4,0
4,16,Male,26,0,50,50,50,2,2,0,1,0,1,2,0,1,0,1,2,0
4,17,FEMALE,26,1,93,99,98,2,2,0,1,1,0,2,0,1,1,0,2,0
4,18,Female,38,1,84,75,50,1,2,0,0,1,0,1,0,0,1,1,2,0
4,19,Male,24,0,51,50,50,1,3,0,0,1,0,1,1,0,1,1,3,0
4,20,female ,30,1,55,73,63,1,1,0,0,1,0,1,0,0,1,0,1,0
5,21,male,27,1,68,59,63,2,2,1,0,1,0,2,1,0,0,1,2,0
5,22,Male,25,1,60,40,70,2,2,1,0,1,0,2,1,0,1,0,2,0
5,23,Male,21,0,47,47,50,2,2,1,0,1,0,2,1,0,1,0,2,0
5,24,Male,33,0,10,30,60,2,2,0,0,1,1,2,0,1,1,0,2,0
5,25,Male,30,1,67,50,50,2,2,1,0,1,0,2,1,0,1,0,2,0
6,26,female,39,0,40,12,5,4,2,1,1,1,1,4,1,1,0,0,2,0
6,27,Male,27,0,62,40,84,2,1,0,0,1,1,2,0,1,0,0,1,0
6,28,FEMALE,47,0,33,50,30,4,0,1,1,1,1,4,0,0,0,0,0,0
6,29,male,69,1,50,15,33,2,2,1,1,0,0,2,1,1,0,0,2,0
6,30,male,28,1,41,36,43,2,2,0,0,1,1,2,1,1,0,0,2,0
1,31,Female,39,0,49,49,49,2,3,0,0,1,1,2,0,1,1,1,3,1
1,32,Male,31,0,59,34,50,2,2,0,1,1,0,2,1,0,0,1,2,1
1,33,Male,30,0,50,67,50,2,1,1,0,1,0,2,0,0,1,0,1,1
1,34,Female,25,0,67,7,70,2,2,0,1,1,0,2,1,1,0,0,2,1
1,35,Female,32,0,50,50,50,2,2,0,1,1,0,2,0,0,1,1,2,1
1,36,Male,32,0,49,49,48,0,2,0,0,0,0,0,0,1,0,1,2,1
1,37,Female,35,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1
1,38,Male,69,0,63,64,51,2,2,1,0,1,0,2,1,1,0,0,2,1
1,39,Male,32,0,4,4,48,3,2,0,1,1,1,3,0,1,1,0,2,1
1,40,Female,28,0,0,0,0,4,0,1,1,1,1,4,0,0,0,0,0,1
2,41,Male,38,0,51,56,42,2,2,0,0,1,1,2,0,1,1,0,2,1
2,42,Female,39,1,25,91,33,2,3,0,1,1,0,2,1,1,1,0,3,1
2,43,,,,,,,,,,,,,,,,,,,1
2,44,Female,31,0,28,27,27,2,2,0,1,1,0,2,0,1,1,0,2,1
2,45,Male,30,1,68,66,84,1,1,0,1,0,0,1,0,0,1,0,1,1
2,46,Female,37,0,36,69,24,2,2,0,1,0,1,2,0,1,0,1,2,1
2,47,Male,43,0,,,,,,,,,,,,,,,,1
2,48,Female,34,0,76,27,64,2,2,1,0,0,1,2,1,0,0,1,2,1
2,49,Male,26,0,52,61,69,2,2,1,0,0,1,2,1,1,0,0,2,1
2,50,Female,54,0,51,69,36,1,4,0,0,0,1,1,1,1,1,1,4,1
3,51,Male,31,1,85,73,95,0,0,0,0,0,0,0,0,0,0,0,0,1
3,52,Female,36,0,51,19,2,1,1,0,0,0,1,1,0,0,0,1,1,1
3,53,Female,28,0,86,93,94,0,0,0,0,0,0,0,0,0,0,0,0,1
3,54,Male,28,0,96,100,99,0,0,0,0,0,0,0,0,0,0,0,0,1
3,55,Female,64,1,30,81,,2,2,1,0,0,1,2,1,0,0,1,2,1
3,56,Male,33,0,27,27,51,3,3,1,1,0,1,3,1,0,1,1,3,1
3,57,Female,30,0,25,25,25,2,2,1,0,1,0,2,1,0,1,0,2,1
3,58,Male,57,0,50,82,51,0,2,0,0,0,0,0,0,0,1,1,2,1
3,59,Male,28,1,93,79,91,0,0,0,0,0,0,0,0,0,0,0,0,1
3,60,Male,32,0,67,23,50,2,2,1,0,0,1,2,1,1,0,0,2,1
4,61,Male,23,0,49,51,52,2,2,1,1,0,0,2,1,1,0,0,2,1
4,62,Male,30,0,0,50,20,2,2,1,0,1,0,2,0,1,1,0,2,1
4,63,Male,29,1,30,25,6,2,3,1,0,0,1,2,1,1,0,1,3,1
4,64,Male,29,1,66,77,83,1,2,0,0,1,0,1,1,0,0,1,2,1
4,65,Male,34,0,50,50,50,2,2,1,1,0,0,2,0,0,1,1,2,1
4,66,Male,34,0,33,32,50,0,3,0,0,0,0,0,0,1,1,1,3,1
4,67,Female,51,0,60,50,50,2,2,0,1,0,1,2,0,1,0,1,2,1
4,68,Female,27,0,49,86,60,1,2,0,0,0,1,1,1,0,1,0,2,1
4,69,Female ,46,1,33,50,14,2,2,1,0,1,0,2,1,0,0,1,2,1
4,70,Female,39,1,57,29,81,2,3,0,1,1,0,2,1,1,1,0,3,1
5,71,Female,50,0,33,30,60,2,2,0,1,1,0,2,1,0,0,1,2,1
5,72,Female,36,0,10,1,94,2,2,0,1,1,0,2,0,1,1,0,2,1
5,73,Female,36,0,51,51,50,2,4,1,0,0,1,2,1,1,1,1,4,1
5,74,Male,26,0,48,50,51,0,0,0,0,0,0,0,0,0,0,0,0,1
5,75,Female,49,0,52,54,57,2,2,1,0,1,0,2,0,1,1,0,2,1
5,76,Male,27,1,47,61,61,2,2,0,0,1,1,2,0,1,0,1,2,1
5,77,Female,30,0,7,47,74,2,2,0,1,1,0,2,0,0,1,1,2,1
5,78,Female,41,0,75,50,38,1,2,0,0,0,1,1,1,0,0,1,2,1
5,79,Male,28,1,85,45,83,2,1,1,0,1,0,2,0,0,1,0,1,1
5,80,Male,29,1,53,61,49,2,4,0,1,1,0,2,1,1,1,1,4,1
6,81,Female,51,0,14,58,47,0,3,0,0,0,0,0,1,0,1,1,3,1
6,82,Female,24,0,34,17,84,2,2,1,0,1,0,2,0,0,1,1,2,1
6,83,Male,25,1,37,5,81,0,1,0,0,0,0,0,0,1,0,0,1,1
6,84,Male,26,0,,,,,,,,,,,,,,,,1
6,85,Male,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,86,Male,23,1,82,61,49,0,4,0,0,0,0,0,1,1,1,1,4,1
6,87,Male,33,0,33,48,91,1,2,0,0,1,0,1,0,1,1,0,2,1
6,88,Female,23,1,83,74,65,2,2,0,0,1,1,2,1,0,1,0,2,1
6,89,Male,26,0,65,3,3,2,4,1,1,0,0,2,1,1,1,1,4,1
6,90,Female,30,0,50,62,84,2,1,1,0,1,0,2,0,1,0,0,1,0
7,91,Male,26,0,57,45,70,2,2,1,1,0,0,2,1,1,0,0,2,0
7,92,female,40,0,74,59,70,3,3,1,0,1,1,3,1,1,1,0,3,0
7,93,Male,29,0,52,33,62,2,2,0,1,0,1,2,1,1,0,0,2,0
7,94,Male,28,0,58,65,55,2,2,1,0,0,1,2,1,0,0,1,2,0
7,95,Female,25,0,50,50,50,2,4,1,0,0,1,2,1,1,1,1,4,0
8,96,FEMALE,36,0,,,,,,,,,,,,,,,,0
8,97,Male,24,0,50,50,50,2,1,1,0,1,0,2,1,0,0,0,1,0
8,98,male,37,0,51,51,51,2,2,1,0,0,1,2,1,0,0,1,2,0
8,99,male,50,0,60,20,20,2,2,1,1,0,0,2,1,1,0,0,2,0
8,100,female,34,0,34,41,52,3,3,1,1,0,1,3,1,0,1,1,3,0
9,101,male,26,0,,,,,,,,,,,,,,,,0
9,102,Female,29,1,,,,,,,,,,,,,,,,0
9,103,Male,26,1,48,35,69,3,2,1,0,1,1,3,0,0,1,1,2,0
9,104,Male,27,0,36,62,20,0,0,,,,,,,,,,,0
9,105,male,30,1,,,,,,,,,,,,,,,,0
10,106,male,34,0,,,,,,,,,,,,,,,,0
10,107,Male,24,0,,,,,,,,,,,,,,,,0
10,108,male,32,0,43,22,63,2,0,1,0,1,0,2,0,0,0,0,0,0
10,109,female,63,1,39,77,0,1,2,0,0,1,0,1,1,1,0,0,2,0
10,110,Female,25,0,,,,,,,,,,,,,,,,0
11,111,Female,43,0,50,34,17,2,0,1,0,0,1,2,0,0,0,0,0,0
11,112,male,26,1,,,,,,,,,,,,,,,,0
11,113,male,30,0,79,50,63,2,2,1,0,1,0,2,1,0,1,0,2,0
11,114,Female,41,1,,,,,,,,,,,,,,,,0
11,115,male,33,0,51,51,51,2,2,0,1,1,0,2,0,1,0,1,2,0
12,116,male,31,0,20,25,25,2,2,0,1,0,1,2,0,1,0,1,2,0
12,117,Male,45,0,,,,4,4,1,1,1,1,4,1,1,1,1,4,0
12,118,MALE,31,1,,,,,,,,,,,,,,,,0
12,119,male,25,0,73,82,63,2,2,0,1,0,1,2,0,1,0,1,2,0
12,120,Male,28,1,53,74,64,2,3,0,0,1,1,2,0,1,1,1,3,0
7,121,Female,31,0,84,44,66,1,0,0,0,1,0,1,0,0,0,0,0,1
7,122,Male,28,0,30,63,76,2,2,1,0,1,0,2,1,0,1,0,2,1
7,123,Female,55,0,53,58,49,0,2,0,0,0,0,0,1,0,1,0,2,1
7,124,Male,36,0,50,50,50,2,2,0,1,0,1,2,1,0,0,1,2,1
7,125,Male,26,1,57,42,76,2,2,0,0,1,1,2,0,0,1,1,2,1
7,126,Female,28,1,48,57,10,1,2,0,0,0,1,1,0,1,0,1,2,1
7,127,Male,33,0,54,68,51,0,0,0,0,0,0,0,0,0,0,0,0,1
7,128,Male,50,0,14,33,73,3,1,0,1,1,1,3,1,0,0,0,1,1
7,129,Male,31,0,22,80,22,2,2,1,0,1,0,2,0,0,1,1,2,1
8,130,Male,32,0,20,30,65,3,2,1,1,1,0,3,0,1,0,1,2,1
8,131,Male,28,1,67,81,90,0,1,0,0,0,0,0,1,0,0,0,1,1
8,132,Female,27,1,91,72,85,1,2,0,1,0,0,1,1,0,0,1,2,1
8,133,Male,33,1,69,33,3,2,2,0,1,1,0,2,0,0,1,1,2,1
8,134,Male,29,0,25,25,25,2,1,0,0,1,1,2,0,0,1,0,1,1
8,135,Female,36,1,51,90,24,2,2,1,0,1,0,2,0,1,0,1,2,1
8,136,Male,38,0,79,20,90,2,2,0,1,1,0,2,0,1,1,0,2,1
8,137,Male,54,0,34,68,55,2,2,1,0,1,0,2,1,0,1,0,2,1
8,138,Genderqueer,40,0,50,50,49,2,2,0,0,1,1,2,0,0,1,1,2,1
8,139,Female,57,0,32,52,54,2,2,1,0,0,1,2,1,1,0,0,2,1
9,140,Female,46,0,33,65,26,1,3,1,0,0,0,1,1,1,0,1,3,1
9,141,Male,34,0,51,56,51,2,2,0,0,1,1,2,1,0,1,0,2,1
9,142,,,,,,,,,,,,,,,,,,,1
9,143,Female,55,0,94,69,69,2,2,0,0,1,1,2,1,0,0,1,2,1
9,144,Female,29,1,59,60,32,2,2,1,0,0,1,2,1,0,0,1,2,1
9,145,Female,48,1,16,61,41,2,2,1,1,0,0,2,1,1,0,0,2,1
9,146,Female,26,0,49,51,51,1,0,0,0,0,1,1,0,0,0,0,0,1
9,147,Female,47,1,43,64,87,0,4,0,0,0,0,0,1,1,1,1,4,1
9,148,Female,28,1,83,82,59,1,0,0,1,0,0,1,0,0,0,0,0,1
9,149,Male,26,0,51,69,63,3,1,1,1,0,1,3,1,0,0,0,1,1
10,150,Male,59,1,54,56,76,0,0,0,0,0,0,0,0,0,0,0,0,1
10,151,Male,73,0,50,50,50,2,1,1,1,0,0,2,0,1,0,0,1,1
10,152,Male,31,0,49,81,39,2,1,0,0,1,1,2,0,0,0,1,1,1
10,153,Female,67,0,33,68,52,3,4,1,1,0,1,3,1,1,1,1,4,1
10,154,Male,27,1,19,32,39,2,3,0,1,0,1,2,1,1,0,1,3,1
10,155,Female,34,0,51,50,31,2,4,0,1,0,1,2,1,1,1,1,4,1
10,156,Female,45,0,62,53,87,2,2,0,1,0,1,2,0,1,0,1,2,1
10,157,Male,50,0,51,49,,0,0,0,0,0,0,0,0,0,0,0,0,1
10,158,Female,35,0,54,49,50,2,1,0,1,0,1,2,0,1,0,0,1,1
10,159,Female,32,0,50,50,50,0,4,0,0,0,0,0,1,1,1,1,4,1
10,160,Female,64,0,50,50,50,2,2,1,0,0,1,2,0,1,1,0,2,1
11,161,Male,33,1,30,41,30,2,2,0,1,1,0,2,0,1,1,0,2,1
11,162,Male,60,0,51,51,52,2,2,0,0,1,1,2,0,0,1,1,2,1
11,163,Female,57,0,8,23,37,2,0,1,0,0,1,2,0,0,0,0,0,1
11,164,Female,61,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1
11,165,Male,27,0,50,50,50,0,4,0,0,0,0,0,1,1,1,1,4,1
11,166,,,,,,,,,,,,,,,,,,,1
11,167,Male,36,0,79,68,42,2,2,1,1,0,0,2,1,0,0,1,2,1
11,168,Male,37,0,50,50,50,2,2,0,0,1,1,2,0,0,1,1,2,1
11,169,Female,29,1,65,83,88,0,0,0,0,0,0,0,0,0,0,0,0,1
12,170,Male,34,0,50,50,50,2,2,1,0,1,0,2,1,0,0,1,2,1
12,171,Male,30,1,95,93,94,0,0,0,0,0,0,0,0,0,0,0,0,1
12,172,Male,31,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,1
12,173,,,,,,,,,,,,,,,,,,,1
12,174,Male,28,0,79,90,94,0,0,0,0,0,0,0,0,0,0,0,0,1
12,175,Male,44,0,50,50,51,0,0,0,0,0,0,0,0,0,0,0,0,1
12,176,Male,25,0,33,33,33,2,2,1,0,1,0,2,1,0,1,0,2,1
12,177,Male,47,0,33,50,68,2,0,1,1,0,0,2,0,0,0,0,0,1
12,178,Male,41,0,10,20,50,2,2,1,0,1,0,2,0,1,0,1,2,1
12,179,Male,29,0,25,24,75,0,0,0,0,0,0,0,0,0,0,0,0,1
12,180,Female,38,0,51,51,50,2,2,0,1,1,0,2,1,0,0,1,2,1
