version,subjID,gender,age,BlockVary,ItemVary,FrequencyPredict_1,FrequencyPredict_2,FrequencyPredict_3,FrequencyPredict_4,FrequencyPredict_5,SCForcedChoice_bear,SCForcedChoice_turtle,SCForcedChoice_bird,SCForcedChoice_deer,SCForcedChoice_dog,SCForcedChoice_cat,SCForcedChoice,SCForcedChoice_LWPC,SCForcedChoice_bias,Experiment
3,1,Female,34,0,0,50,51,51,51,52,1,0,0,0,0,0,1,0,1,0
3,2,Male,35,0,0,20,27,51,7,9,0,0,0,0,0,0,0,0,0,0
3,3,Male,23,1,0,15,15,45,16,71,0,0,0,1,0,1,2,1,1,0
3,4,Male,28,1,0,48,57,41,57,71,0,0,1,1,0,0,2,1,1,0
3,5,Male,28,0,0,70,81,68,64,73,0,0,0,1,1,0,2,0,2,0
3,6,Male,39,0,0,5,5,10,25,65,0,0,0,1,1,0,2,2,0,0
3,7,Male,28,1,1,50,59,38,66,31,1,1,0,0,0,0,2,0,2,0
3,8,Male,65,1,1,0,50,0,0,0,1,1,1,0,1,1,5,1,4,0
3,9,Female,30,1,1,76,63,50,58,91,0,0,0,0,1,1,2,0,2,0
3,10,Male,38,0,0,72,41,77,43,19,0,1,0,1,1,1,4,0,4,0
3,11,Male,28,0,0,64,77,64,72,82,0,0,0,0,0,1,1,0,1,0
3,12,Male,57,0,0,51,51,52,51,51,0,1,0,0,0,0,1,0,1,0
3,13,Female,47,0,0,0,0,0,50,0,1,0,0,0,1,0,2,1,1,0
3,14,Male,27,0,0,56,1,0,0,0,1,1,0,0,1,1,4,2,2,0
3,15,Male,29,0,0,93,79,87,85,94,0,0,1,0,0,1,2,1,1,0
4,16,Male,28,1,1,75,67,87,52,49,0,0,0,0,0,1,1,0,1,0
4,17,Male,30,0,0,50,51,50,50,50,0,1,0,1,1,1,4,2,2,0
4,18,Female,29,1,0,73,62,77,70,84,0,1,0,1,1,1,4,2,2,0
4,19,Male,43,0,0,65,0,15,10,0,0,0,0,0,0,0,0,0,0,0
4,20,Male,24,1,1,27,46,48,34,26,0,1,1,1,0,1,4,2,2,0
4,21,Female,25,0,0,62,41,61,6,97,0,1,1,0,0,0,2,0,2,0
4,22,Female,46,0,0,0,75,9,0,1,0,0,0,0,1,1,2,1,1,0
4,23,Female,28,1,0,78,78,68,91,79,1,0,0,0,1,1,3,0,3,0
4,24,Female,28,1,1,45,75,63,90,36,0,0,1,0,0,0,1,0,1,0
4,25,Male,49,1,1,0,75,0,0,75,0,0,1,1,1,1,4,1,3,0
4,26,Female,48,0,0,52,58,43,50,73,0,0,0,1,0,1,2,0,2,0
4,27,Female,40,0,0,85,23,8,0,0,1,1,0,0,0,0,2,0,2,0
4,28,Male,25,1,1,65,69,58,78,49,1,0,0,0,1,1,3,0,3,0
4,29,Male,32,1,1,0,15,0,82,15,0,0,0,1,0,0,1,0,1,0
4,30,Male,26,0,1,50,51,52,52,52,0,1,0,0,1,0,2,0,2,0
3,31,Female,24,0,1,10,31,31,15,94,1,1,1,0,1,1,5,1,4,1
3,32,Female,29,1,1,25,32,49,46,33,1,1,1,0,1,0,4,1,3,1
3,33,Female,33,0,0,50,50,50,0,0,0,0,1,0,1,1,3,0,3,1
3,34,Male,25,1,1,50,0,0,23,0,0,0,0,1,0,1,2,0,2,1
3,35,Female,43,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,36,Female,28,1,1,9,30,49,88,37,0,1,0,1,1,1,4,2,2,1
3,37,Female,38,0,0,54,5,40,60,4,1,0,1,1,0,0,3,1,2,1
3,38,Male,43,0,0,50,50,50,50,50,0,0,1,0,1,1,3,1,2,1
3,39,Male,32,1,1,34,5,23,80,55,0,0,0,1,0,0,1,0,1,1
3,40,Male,65,0,0,77,52,60,100,51,0,0,0,1,1,0,2,0,2,1
3,41,Female,46,0,0,60,50,50,50,50,0,1,0,0,0,0,1,1,0,1
3,42,Male,30,0,0,9,23,28,28,36,1,1,0,0,0,0,2,2,0,1
3,43,Male,27,1,0,13,11,14,14,11,0,0,0,1,0,0,1,0,1,1
3,44,Female,28,1,1,0,0,0,0,50,0,1,0,1,0,0,2,2,0,1
3,45,Female,29,1,0,0,51,50,77,0,0,0,1,1,0,0,2,2,0,1
3,46,Male,33,1,1,7,8,81,8,9,0,0,0,0,1,1,2,0,2,1
3,47,Female,45,0,0,50,50,50,50,50,0,1,0,0,1,1,3,0,3,1
3,48,Male,32,0,0,85,5,0,0,0,0,0,0,0,1,0,1,1,0,1
3,49,Female,34,1,1,17,54,64,52,46,0,0,0,0,0,1,1,1,0,1
3,50,Female,41,0,0,0,60,55,65,0,0,0,1,1,0,0,2,2,0,1
3,51,Male,32,0,1,11,76,46,12,55,0,1,1,0,1,1,4,1,3,1
3,52,Male,47,0,0,50,50,0,0,50,0,0,0,0,0,0,0,0,0,1
3,53,Female,46,0,0,50,50,50,50,50,1,0,0,0,0,1,2,0,2,1
3,54,,,,,,,,,,,,,,,,,,,1
3,55,Male,33,0,0,25,25,25,25,25,0,0,1,0,1,0,2,0,2,1
3,56,Male,26,1,1,23,70,65,21,75,0,0,0,1,1,0,2,0,2,1
3,57,Female,28,0,1,79,96,80,94,100,1,1,0,0,0,0,2,0,2,1
3,58,Male,37,0,0,52,54,55,54,54,1,0,0,1,1,1,4,0,4,1
3,59,Male,29,0,0,100,0,0,0,0,0,0,1,0,1,0,2,2,0,1
3,60,Male,30,0,0,85,5,5,0,0,1,1,1,1,1,1,6,2,4,1
4,61,Female,32,0,0,41,18,16,22,50,1,0,0,0,1,0,2,1,1,1
4,62,Male,40,0,1,26,65,65,14,39,1,0,1,0,0,0,2,0,2,1
4,63,Female,25,0,0,51,51,51,52,51,0,1,0,0,1,0,2,0,2,1
4,64,Female,22,1,1,19,21,25,28,32,0,0,0,1,1,1,3,1,2,1
4,65,Female,39,0,0,84,4,4,4,5,1,1,0,0,0,0,2,0,2,1
4,66,Male,38,1,1,17,28,61,55,48,0,1,0,1,1,0,3,0,3,1
4,67,Male,27,1,1,89,83,71,58,82,1,0,1,0,0,0,2,0,2,1
4,68,Female,31,0,0,0,50,0,0,0,0,1,1,0,1,0,3,0,3,1
4,69,Female,35,1,0,33,47,82,28,38,1,0,0,1,0,0,2,1,1,1
4,70,Female,41,0,1,33,79,0,50,0,0,0,0,1,0,1,2,0,2,1
4,71,Female,44,0,0,50,48,48,48,48,0,0,0,1,1,0,2,0,2,1
4,72,Female,28,0,0,50,50,50,50,51,0,0,1,0,0,1,2,2,0,1
4,73,Female,25,0,0,68,36,15,35,46,1,1,1,0,0,0,3,1,2,1
4,74,Male,42,0,0,20,40,6,82,7,0,0,1,1,0,0,2,0,2,1
4,75,Male,30,0,0,17,5,10,2,33,0,0,0,1,0,1,2,0,2,1
4,76,Female,59,0,0,5,5,95,5,5,1,0,1,1,1,1,5,2,3,1
4,77,Male,28,1,1,41,58,72,58,79,0,0,0,0,0,0,0,0,0,1
4,78,Female,21,0,0,0,0,0,0,77,1,0,1,1,0,1,4,0,4,1
4,79,Male,35,0,0,1,0,0,71,3,0,1,0,0,0,0,1,0,1,1
4,80,Male,32,0,0,65,65,50,90,40,0,0,0,0,1,1,2,0,2,1
4,81,Female,32,1,0,21,76,48,68,21,0,1,1,1,1,1,5,1,4,1
4,82,Male,26,0,0,100,0,0,0,0,1,1,0,0,0,0,2,2,0,1
4,83,Male,26,0,0,12,12,11,80,9,1,0,0,0,1,0,2,0,2,1
4,84,Male,48,0,0,4,14,5,4,7,0,0,0,1,0,1,2,0,2,1
4,85,Male,36,0,0,50,49,31,66,39,1,1,1,1,0,0,4,0,4,1
4,86,Male,28,0,0,50,50,50,50,50,1,0,1,0,1,0,3,1,2,1
4,87,Female,61,1,1,3,13,1,90,7,1,0,1,0,1,1,4,2,2,1
4,88,Female,30,0,0,91,1,1,1,1,1,1,1,1,1,1,6,2,4,1
4,89,Female,37,0,0,7,7,9,11,56,1,1,1,1,0,1,5,2,3,1
4,90,Male,37,0,0,49,67,48,57,36,1,1,1,1,0,1,5,1,4,1
9,91,Female,28,1,1,59,65,51,64,73,0,1,1,0,0,1,3,1,2,0
9,92,Male,27,0,0,85,20,0,0,20,1,1,1,1,1,1,6,2,4,0
9,93,Male,28,1,1,60,77,66,67,80,0,0,0,1,1,0,2,1,1,0
9,94,Female,31,0,0,0,66,5,7,4,1,0,1,0,0,0,2,0,2,0
9,95,Female,26,0,0,74,87,68,80,70,0,0,0,0,0,1,1,1,0,0
9,96,Male,26,1,1,89,89,92,95,86,1,1,0,0,1,1,4,2,2,0
9,97,Female,42,0,0,50,50,42,38,39,1,1,0,1,1,1,5,1,4,0
9,98,Female,40,0,0,50,49,50,49,50,1,1,0,0,0,1,3,2,1,0
9,99,Male,20,1,1,54,55,56,56,56,0,0,0,0,0,0,0,0,0,0
9,100,Female,43,0,0,50,50,50,50,50,1,0,1,0,0,0,2,2,0,0
9,101,Male,30,0,1,51,51,30,50,11,0,0,0,0,1,1,2,2,0,0
9,102,Female,36,0,0,18,73,,0,6,0,0,0,0,0,0,0,0,0,0
9,103,Female,36,0,0,17,8,31,42,19,1,1,0,1,1,0,4,0,4,0
9,104,Female,24,0,0,50,50,50,50,50,1,1,0,0,0,0,2,0,2,0
9,105,Female,31,1,1,22,0,39,0,85,0,1,1,1,1,0,4,2,2,0
10,106,Female,24,0,0,49,49,49,49,50,0,1,0,0,1,0,2,0,2,0
10,107,Male,26,1,1,63,74,62,76,86,0,0,0,1,1,0,2,1,1,0
10,108,Male,32,0,0,50,24,29,76,24,0,1,1,1,1,1,5,1,4,0
10,109,Female,58,0,0,47,48,67,27,20,1,1,0,0,1,0,3,1,2,0
10,110,Female,21,1,1,50,50,50,47,51,1,0,1,0,1,0,3,1,2,0
10,111,Male,42,1,0,10,70,16,50,54,0,0,0,0,0,0,0,0,0,0
10,112,Male,25,1,1,42,37,,,,1,0,1,0,0,0,2,0,2,0
10,113,Female,27,1,1,74,60,89,73,82,1,1,0,1,0,0,3,1,2,0
10,114,Female,26,1,1,70,57,68,82,66,1,0,0,1,0,1,3,2,1,0
10,115,Female,25,1,1,66,81,92,96,98,1,0,0,1,0,1,3,0,3,0
10,116,Female,21,1,1,49,68,50,48,48,1,1,1,0,0,1,4,0,4,0
10,117,Male,26,1,1,71,81,68,78,80,0,0,0,0,0,0,0,0,0,0
10,118,Male,40,0,0,7,1,67,22,1,1,0,1,0,0,1,3,0,3,0
10,119,Female,24,1,1,23,15,28,18,29,0,1,1,0,0,0,2,0,2,0
10,120,Female,32,0,0,50,0,0,35,35,1,1,1,0,0,0,3,0,3,0
9,121,Male,26,0,0,50,50,50,50,50,0,0,1,0,0,1,2,0,2,1
9,122,Female,42,1,1,41,10,81,10,10,0,0,1,0,0,0,1,0,1,1
9,123,Female,48,1,1,50,51,50,49,49,1,0,0,1,0,0,2,0,2,1
9,124,Male,51,1,1,65,75,52,46,62,1,0,0,0,0,0,1,0,1,1
9,125,Female,36,0,0,25,1,100,2,2,0,0,0,1,0,1,2,0,2,1
9,126,Male,28,0,1,96,79,88,81,89,0,1,0,1,1,0,3,1,2,1
9,127,Female,58,0,0,67,6,5,1,90,1,0,0,1,0,1,3,1,2,1
9,128,Female,32,0,0,0,0,50,50,50,1,1,1,1,0,0,4,0,4,1
9,129,Male,45,1,1,12,31,25,20,78,1,1,1,0,0,0,3,0,3,1
9,130,Female,28,0,0,77,88,66,87,78,0,0,0,0,0,1,1,0,1,1
9,131,Male,35,1,1,50,50,50,50,50,0,1,0,0,0,1,2,2,0,1
9,132,Female,27,1,0,34,71,40,18,37,1,0,0,1,0,0,2,0,2,1
9,133,Female,36,1,1,83,10,16,1,61,0,0,0,1,0,0,1,1,0,1
9,134,Male,33,1,1,53,55,53,60,52,1,0,0,0,1,0,2,0,2,1
9,135,Female,32,1,1,25,27,18,31,80,0,1,1,1,1,0,4,0,4,1
9,136,Male,29,1,1,79,71,37,27,89,0,0,0,0,1,0,1,0,1,1
9,137,Male,47,,,,,,,,,,,,,,,,,1
9,138,Male,23,1,0,75,6,17,9,59,0,0,0,0,1,0,1,0,1,1
9,139,Female,28,0,0,48,64,40,55,63,0,0,0,0,0,0,0,0,0,1
9,140,Male,33,0,0,50,50,50,50,50,1,1,1,1,0,0,4,2,2,1
9,141,Female,51,0,0,76,41,92,30,8,0,0,0,0,1,0,1,0,1,1
9,142,Male,45,0,0,0,0,31,32,59,1,0,0,0,0,1,2,0,2,1
9,143,Male,34,0,1,14,92,0,0,17,1,0,1,1,1,0,4,0,4,1
9,144,Female,31,1,1,17,16,19,8,11,0,1,0,1,1,1,4,0,4,1
9,145,Female,26,0,0,17,51,33,17,17,0,1,1,1,0,0,3,1,2,1
9,146,Female,27,0,0,85,75,93,84,97,0,0,1,0,0,0,1,0,1,1
9,147,Male,28,0,1,98,88,86,87,100,0,0,0,1,1,1,3,2,1,1
9,148,Male,46,0,0,0,0,0,0,63,1,0,1,1,1,1,5,1,4,1
9,149,Male,27,0,0,79,0,0,51,0,0,1,0,1,0,1,3,1,2,1
9,150,Male,21,0,0,86,2,6,33,5,0,0,0,0,0,0,0,0,0,1
10,151,Female,41,1,1,60,38,54,71,47,1,0,0,0,0,0,1,0,1,1
10,152,Male,28,1,1,28,69,11,5,3,1,0,0,0,0,1,2,0,2,1
10,153,Female,59,0,0,50,51,48,51,50,0,0,0,1,0,1,2,0,2,1
10,154,Male,33,1,1,40,26,77,20,37,1,0,0,1,0,0,2,0,2,1
10,155,Female,47,0,1,64,53,64,54,71,0,0,0,0,0,0,0,0,0,1
10,156,Female,29,1,1,1,17,0,0,63,0,1,0,0,1,0,2,0,2,1
10,157,Male,66,0,0,11,17,18,44,32,0,0,1,0,0,0,1,0,1,1
10,158,Female,37,1,1,46,18,16,15,4,1,1,0,1,1,1,5,1,4,1
10,159,Male,42,1,1,15,31,19,29,16,1,0,0,1,0,0,2,0,2,1
10,160,Female,45,0,0,50,50,52,78,52,1,1,1,0,1,0,4,0,4,1
10,161,Male,25,1,1,88,38,76,28,19,0,0,0,1,0,0,1,0,1,1
10,162,Male,26,0,0,75,50,55,25,0,0,0,0,1,1,0,2,2,0,1
10,163,Male,26,0,0,30,30,0,75,0,0,1,1,0,0,0,2,2,0,1
10,164,Male,32,1,1,76,26,26,65,71,0,0,0,0,1,0,1,0,1,1
10,165,Male,25,0,1,78,31,35,23,25,0,0,1,0,0,1,2,0,2,1
10,166,Female,58,1,0,55,46,41,27,46,0,0,0,1,1,0,2,0,2,1
10,167,Female,34,0,1,33,25,70,49,49,0,1,1,0,0,1,3,1,2,1
10,168,Male,53,1,1,15,15,50,15,67,0,1,0,0,1,0,2,0,2,1
10,169,Male,32,1,1,50,51,50,51,49,,,,,,,,,,1
10,170,Male,35,1,1,75,52,62,35,29,1,0,0,1,0,1,3,1,2,1
10,171,Female,32,0,0,0,0,100,0,0,1,0,1,1,0,1,4,2,2,1
10,172,Male,36,1,1,0,0,53,1,1,0,1,0,0,1,0,2,0,2,1
10,173,Male,36,1,1,72,63,66,75,80,0,0,1,0,1,0,2,1,1,1
10,174,Male,29,1,1,61,78,63,84,73,0,0,1,0,0,1,2,0,2,1
10,175,Male,33,1,1,54,64,50,64,50,0,0,1,1,0,0,2,0,2,1
10,176,Male,37,1,1,79,66,85,89,95,0,0,0,0,0,1,1,0,1,1
10,177,Female,35,1,0,51,93,47,13,18,0,1,0,1,0,0,2,2,0,1
10,178,Male,49,0,0,0,0,15,15,86,1,1,1,0,0,0,3,1,2,1
10,179,Male,28,1,1,69,43,78,59,52,1,1,1,0,1,0,4,1,3,1
10,180,Female,32,0,0,50,0,0,0,0,0,0,1,0,1,1,3,2,1,1
